property_id,property_url,purpose,type,added_on,furnishing,price,location,bed_bath_size,permit_number,agent_name,primary_image_url,breadcrumbs,amenities,description,property_image_urls
Bayut - 104815-zccUVm,https://www.bayut.com/property/details-9941202.html,For Sale,Villa,14 October 2024,Ready,"{'currency': '', 'amount': ''}","Noya Luma, Yas Island, Abu Dhabi","{'beds': '3', 'baths': '5', 'sqft': '4035'}",,,https://images.bayut.com/thumbnails/743589171-800x600.jpeg,Abu Dhabi Villas,,"Welcome to your future home in the heart of Yas Island, Abu Dhabi - a masterpiece of modern living nestled within the vibrant community of Noya Luma. This exquisite 3-Bedroom property is designed for those who appreciate the finer things in life, offering an unparalleled blend of comfort, style, and convenience. This spacious layout featuring large windows that flood the space with natural light and offer stunning views of the surrounding landscapes. Key Features:·        Bright and Spacious Living Room·        Maid’s-Room·        Dining Area·        Modern Fully Fitted Kitchen·        Built-In Wardrobes·        Laundry/Storage Room·        Well-Allocated Bathrooms·        Powder Room·        Private Garden·        Spacious Terrace·        Deluxe Excellent Finishes·        Allocated ParkingAmenities:·        Swimming Pool·        BBQ and picnic areas·        Gymnasium·        Kids Playground·        Community center·        Community Gardens·        Multipurpose Room·        Interactive outdoor spaces·        Sports facilitiesContact us for more information: View Contact DetailWorld gate Properties L. L. C is a leading real estate agency in Abu Dhabi founded by one of the most experienced real estate experts in UAE. It is a subject matter expert on all cycles of real estate. World Gate Properties L. L. C is a full service portfolio management company which focuses on quality and a unique high standard knowledge of the client’s needs. At the heart of the company is a group of entrepreneurial and service oriented professionals dedicated to providing clients with ideas, options and strategies for a variety of challenges and market conditions. World Gate Properties L. L. C built on a number of experts and professionals, enthusiastic to best serve clients from conceptual designs to handover and provide them with the best advice on the real estate market.","https://images.bayut.com/thumbnails/743589207-400x300.jpeg,https://images.bayut.com/thumbnails/743589168-400x300.jpeg,https://images.bayut.com/thumbnails/743589170-400x300.jpeg"
Bayut - 103671-3BN5y3KHAOULA,https://www.bayut.com/property/details-9941205.html,For Sale,Residential Plot,,Off-Plan,"{'currency': '', 'amount': ''}","Al Faqa, Al Ain","{'beds': '', 'baths': '', 'sqft': ''}",,Rahul Gupta,https://images.bayut.com/thumbnails/743589224-800x600.jpeg,Al Ain Plots,,"Villa plot ,Where Luxury Meets Tranquility, Your Gateway to Serene LivingExclusive Residential Development: Arabian Hills Estate offers luxurious living amidst picturesque surroundings, with meticulously curated plots and mansionsTranquil Living: Enjoy panoramic views and lush landscapes, offering relaxation and rejuvenation, with customization options available. Lifestyle Destination: Arabian Hills Estate provides luxurious amenities and endless recreational opportunities, making it more than just a place to live. Strategic Location: Located in Al Faqa, UAE, Arabian Hills Estate offers convenience and tranquility, with promising growth prospects. Natural Charm: Al Faqa retains its natural charm and peaceful ambiance, making it an ideal destination for balanced living. AMENTIES:*Shared Pool*Security and CCTV*Retail Outlets*Football Field*Tennis Court*Basketball Court*Golf Course*Landscaped Park*Lagoon Style Swimming PoolCOMMUNITY INFO:Arabian Hills Estate is nestled in Al Faqa, UAE, offering a perfect balance of tranquility and excitement with easy access to major international airports and nearby attractions. Located along the Dubai-Al Ain Road, it serves as a pivotal link between Dubai and Abu Dhabi, surrounded by picturesque dunes and offering outdoor adventures like desert safaris and camping. Outlet Mall 24 MinutesSilicon Oasis 27 MinutesSilicon Central Mall 27 MinutesDubai Mall 40 MinutesRashid Hospital 42 Minutes","https://images.bayut.com/thumbnails/743589220-400x300.jpeg,https://images.bayut.com/thumbnails/743589221-400x300.jpeg,https://images.bayut.com/thumbnails/743589222-400x300.jpeg"
Bayut - nash5511,https://www.bayut.com/property/details-9941204.html,For Sale,Apartment,,Off-Plan,"{'currency': '', 'amount': ''}","Verdana Residence, Dubai Investment Park (DIP), Dubai","{'beds': '2', 'baths': '3', 'sqft': '1134'}",,,https://images.bayut.com/thumbnails/743589176-800x600.jpeg,Dubai Apartments,,"Unit Features• Built-in wardrobes in bedrooms• Central air conditioning• Double glazed windows• Fully tiled bathrooms, in-suites and guesttoilets wherever applicable• Kitchen cabinets and countertops• Private balconies / terraces as per unit plan• Some bedrooms with private bathroom• Satellite master antenna and fiber opticconnection for high speed internet access• Vanity units & mirrorsAmenities & Services• Gymnasium• Lobby• Large Swimming Pool• Landscaped Areas• 3 Large Elevators• Kid’s Swimming Pool• Kid’s Play Area• Private Parking for Each UnitFacts & Features224 Residential Apartments with Facilities• Studio: 94 Units • One Bedroom: 90 Units • Two Bedrooms: 20 Units • Three Bedrooms: 20 Units • Levels: Ground + 10 Floors","https://images.bayut.com/thumbnails/743589177-400x300.jpeg,https://images.bayut.com/thumbnails/743589178-400x300.jpeg,https://images.bayut.com/thumbnails/743589179-400x300.jpeg"
Bayut - 9268-Dc2ilI,https://www.bayut.com/property/details-9941206.html,For Sale,Apartment,,Off-Plan,"{'currency': '', 'amount': ''}","Avenue Residence 7, Al Furjan, Dubai","{'beds': '1', 'baths': '2', 'sqft': '898'}",,,https://images.bayut.com/thumbnails/743589235-800x600.jpeg,Dubai Apartments,,"✅ On Al Furjan Metro Station✅ Family Residential Area✅ Serene Living✅ Easy Payment Plan✅ Top Line FinishAvenue Residence 7 in Al Furjan, Dubai is an exquisite premium development by Al Jaziri. This vibrant community offers a tranquil escape with urban accessibility, surrounded by cultural charm and green spaces. Located near Sheikh Zayed Road, Nakheel Mall, and Ibn Battuta metro stationLocation:• 1 Minute to Al Furjan Metro station• 4 Minutes to Sheikh Zayed Road• 5 Minutes Ibn Battuta Mall• 10 Minutest to Dubai Marina and Marina Mall• 15 Minutes to Mall of the Emirates• 20 Minutes to Burj Khalifa and Dubai Mall• 25 Minutes to Dubai International AirportFeatures:• Fitted Kitchen• Built-in Wardrobes• Adult Pool• Kids Pool• Gym• Schools• Mosque• Easy access to Sheikh Zayed Road• Opposite of Nakheel MallIn the community of Al Furjan, Dubai, an exceptional low-rise living work of Avenue Residence 7 encompasses brilliant homes. It is the centric destination which connects the village to the urban bustling area of the city. The vibrant and exciting environment of the property encourages a healthy, growing, and exciting lifestyle. رر","https://images.bayut.com/thumbnails/743589236-400x300.jpeg,https://images.bayut.com/thumbnails/743589237-400x300.jpeg,https://images.bayut.com/thumbnails/743589238-400x300.jpeg"
Bayut - 104238-dTN0kM,https://www.bayut.com/property/details-9941208.html,For Sale,Apartment,14 October 2024,Ready,"{'currency': '', 'amount': ''}","Sahab Residences, Maryam Gate Residences, Maryam Island, Al Khan, Sharjah","{'beds': '1', 'baths': '2', 'sqft': '773'}",,,https://images.bayut.com/thumbnails/743589247-800x600.jpeg,Sharjah Apartments,,"Maryam Island is a luxurious waterfront development located in the heart of Sharjah. Named after the wife of Sheikh Sultan bin Ahmed Al Qasimi, the Crown Prince and Deputy Ruler of Sharjah, this island offers a harmonious blend of luxury living and retail options. Nestled between the Arabian Sea and the bustling city of Sharjah, Maryam Island features residential apartments, four- and five-star hotels, waterfront food and beverage outlets, and a vibrant Souq. It promises to be the ultimate leisure and lifestyle destination, providing residents with serene residential spaces and upscale amenities such as a spa, fitness club, swimming pool, and children’s play area.  Unit Details: Size and Layout:* The 1-bedroom apartment covers approximately 773 square feet. * The layout is thoughtfully designed to maximize space utilization.  Interior Design:* The interiors maintain a sleek and elegant aesthetic. * High-end finishes enhance the overall appeal of the apartment. * Smart home features are integrated, ensuring convenience and modern living. * Bedroom: The apartment includes a separate bedroom area. * Bathrooms: There are two well-designed bathrooms with modern fixtures. * Kitchen: The kitchen is compact but functional, equipped with essential appliances. * Living Area: The living area seamlessly integrates with the bedroom and kitchen. * Storage: Clever storage solutions are incorporated throughout the apartment.   Key Features:    * Waterfront Community: Maryam Island is a first-of-its-kind waterfront development nestled between the Arabian Sea and the bustling city of Sharjah. It offers a harmonious blend of luxury living and retail options.    * Freehold Residential Apartments: The island features freehold residential apartments, allowing residents to own their homes in this exclusive community.    * Hotels: Maryam Island hosts four- and five-star hotels, providing top-notch accommodation options for visitors.    * Souq: The vibrant Souq on Maryam Island adds a touch of tradition and local flavor.    * 900-Meter Promenade (La Corniche): Take a leisurely stroll down the 900-meter promenade, La Corniche, and enjoy magical sunset views and exceptional culinary options.    * Short Distance from Dubai: Located just a short distance from Dubai International Airport (DXB) and Downtown Dubai, Maryam Island is an exclusive hideaway in the center of natural beauty.   Premium Amenities:    * Spa: Residents can indulge in relaxation and wellness at the island’s spa.    * Fitness Club: Stay active and fit at the fitness club.    * Swimming Pool: Take a refreshing dip in the swimming pool.    * Children’s Play Area: Kids can enjoy playtime in a safe and fun environment.    * Waterfront Dining: Enjoy dining with a view at the waterfront food and beverage outlets.   Location Details and Community Highlights:    * Ideal Location: Maryam Island is located in downtown Sharjah, overlooking the Arabian Sea.  It provides easy access to Sharjah and neighboring Emirates such as Dubai, Ajman, and Umm Al Quwain via the Al Taawun and Al Ittihad Roads2.    * Family-Friendly: It’s an ideal community for families, offering a serene environment and ample facilities.    * Investment Opportunity: Maryam Island presents one of the best investment opportunities in the UAE.    * Centrally Situated: The AED 4.5 billion mixed-use development is centrally situated within the city’s commercial and residential facilities3.    * Unparalleled Lifestyle: Indulge in an unparalleled lifestyle just 20 minutes from Dubai Airport.    * High-Quality Finishings: The island offers high-quality finishes and exceptional value per square meter.   Maryam Island truly combines city living with beachfront paradise, making it a unique and sought-after destination in the UAE.    About us:Vision X Nexus Real Estate LLC is a dynamic and innovative real estate company dedicated to providing exceptional services and tailored solutions to our clients. We specialize in residential and commercial real estate, offering services such as property management, sales, leasing, and investment opportunities. With our industry expertise, customized approach, technology integration, and market intelligence, we strive to exceed expectations and shape the future of real estate. Trust us to be your reliable partner in turning your vision into reality.","https://images.bayut.com/thumbnails/743589248-400x300.jpeg,https://images.bayut.com/thumbnails/743589249-400x300.jpeg,https://images.bayut.com/thumbnails/743589262-400x300.jpeg"
Bayut - 101087-m3S9H1,https://www.bayut.com/property/details-9941209.html,For Sale,Apartment,14 October 2024,Ready,"{'currency': '', 'amount': ''}","Areej Apartments, Aljada, Sharjah","{'beds': '1', 'baths': '2', 'sqft': '675'}",,,https://images.bayut.com/thumbnails/743589232-800x600.jpeg,Sharjah Apartments,,"Aljada is Sharjah’s newest address, a destination where everything is at your fingertips, and where living, working, entertainment, recreation, shopping, and culture all come together. A destination where engaging design meets contemporary elegance, Aljada allows you to be all that you can be. Community Features:Cafes and restaurants3 International SchoolsLarge Shopping Mall3,4,5 star HotelsZAD Food TrucksBusiness & Wellness DistrictApartment Features Parking Guest bathroom Balcony Swimming Pool Gym AccessBuilt-in wardrobes and kitchen cabinetsSmart home features as standard for every homeCooking range, hood, washer-drier installed as standard Security and access controlWho We AreKeyspace is a boutique real estate brokerage firm, connecting local and international clients to the most exclusive properties in Dubai & Sharjah. We offer a bespoke property finder service for all your real estate needs for apartments and villas across the UAE. We are not just property advisors we pride ourselves on our friendly and professional approach to making your next property move an easy one. Call now to arrange a free consultation with our Private Client AdvisorNOTE: Pictures used in the advertisement are for illustration purposes only.","https://images.bayut.com/thumbnails/743589233-400x300.jpeg,https://images.bayut.com/thumbnails/743589234-400x300.jpeg,https://images.bayut.com/thumbnails/743589267-400x300.jpeg"
Bayut - 103791-NS157q,https://www.bayut.com/property/details-9941203.html,For Rent,Apartment,,14 October 2024,"{'currency': '', 'amount': ''}","DAMAC Heights, Dubai Marina, Dubai","{'beds': '2', 'baths': '2', 'sqft': '1406'}",,,https://images.bayut.com/thumbnails/749893810-800x600.jpeg,Dubai Apartments,,"Green Zone Real Estate is excited to offer this well-priced fully furnished upgraded two-bedroom apartment for Rent in Damac Heights, Dubai Marina, Dubai. 2 Bedrooms3 Bathrooms1,406.52 SqFtAmazing palm and sea viewFully Fitted KitchenParkingShared Gym and PoolModern LayoutThe world-famous Dubai Marina is arguably the most popular residential community in Dubai. You can go for a leisurely nighttime stroll or a morning jog around the entire perimeter of the water’s edge. The Dubai Marina Walk, which lines the waterfront has a selection of cosmopolitan restaurants while the palm tree-lined boardwalk serves as a link between the many towers in the development, the gardens, and the marina. There is also Dubai Marina Mall, a world-class retail and leisure destination which sits in the centre of the community.","https://images.bayut.com/thumbnails/749893812-400x300.jpeg,https://images.bayut.com/thumbnails/749893816-400x300.jpeg,https://images.bayut.com/thumbnails/749893822-400x300.jpeg"
Bayut - 104757-9dDeci,https://www.bayut.com/property/details-9941207.html,For Sale,Apartment,14 October 2024,Off-Plan,"{'currency': '', 'amount': ''}","Vincitore Aqua Dimore, Dubai Science Park, Dubai","{'beds': '1', 'baths': '2', 'sqft': '817'}",,,https://images.bayut.com/thumbnails/743589250-800x600.jpeg,Dubai Apartments,,"AT AQUA DIMORE, Discover the epitome of urban living in this stylish apartment,within the vibrant Aqua Dimore project. This apartment for sale in Dubai offers a perfect blend of comfort, style, and convenience, ideal for young professionals or investors. Designed to maximize space and natural light, the apartment features an open-plan layout that seamlessly combines living, dining, and sleeping areas. The modern kitchen is equipped with essential appliances, making meal preparation a breeze. Large windows allow ample daylight to illuminate the space, creating a bright and airy atmosphere. Aqua Dimore offers a range of amenities designed to enhance your lifestyle. Take advantage of the following:State-of-the-art fitness centerSparkling swimming poolRelaxing spaElegant lobbyHigh-speed elevators24/7 securitygymskids play areasbbq areasgardensThis apartment for sale in Dubai is an ideal investment opportunity, offering excellent potential for rental income. Its prime location and modern design make it an attractive option for tenants. Experience the vibrant energy of city living and the convenience of modern amenities. Don't miss this opportunity to own a stylish and affordable studio apartment.","https://images.bayut.com/thumbnails/743589251-400x300.jpeg,https://images.bayut.com/thumbnails/743589252-400x300.jpeg,https://images.bayut.com/thumbnails/743589253-400x300.jpeg"
Bayut - As W/H Car Workshop -Kitchen Store-,https://www.bayut.com/property/details-9941212.html,For Rent,Warehouse,,14 October 2024,"{'currency': '', 'amount': ''}","Ras Al Khor Industrial 2, Ras Al Khor Industrial, Ras Al Khor, Dubai","{'beds': '', 'baths': '', 'sqft': ''}",,,https://images.bayut.com/thumbnails/743589302-800x600.jpeg,Dubai Warehouses,,Corner WH Best For Car Workshop Kitchen Cargo or any Commercial usePrime Location With Office and Mezzanine Attach Washroom and PantryNo Need to Pay 20% DREI feesFor Further information view and detailFeel Free to call me or Whatsapp View Contact DetailNew Homes Real Estate BrokersORN 2427 BRN 32880,"https://images.bayut.com/thumbnails/743589303-400x300.jpeg,https://images.bayut.com/thumbnails/743589304-400x300.jpeg,https://images.bayut.com/thumbnails/743589305-400x300.jpeg"
Bayut - 101087-el5XtU,https://www.bayut.com/property/details-9941211.html,For Sale,Apartment,14 October 2024,Ready,"{'currency': '', 'amount': ''}","Areej Apartments, Aljada, Sharjah","{'beds': '1', 'baths': '2', 'sqft': '849'}",,,https://images.bayut.com/thumbnails/743589279-800x600.jpeg,Sharjah Apartments,,"Aljada is Sharjah’s newest address, a destination where everything is at your fingertips, and where living, working, entertainment, recreation, shopping, and culture all come together. A destination where engaging design meets contemporary elegance, Aljada allows you to be all that you can be. Community Features:Cafes and restaurants3 International SchoolsLarge Shopping Mall3,4,5 star HotelsZAD Food TrucksBusiness & Wellness DistrictApartment Features Parking Guest bathroom Balcony Swimming Pool Gym AccessBuilt-in wardrobes and kitchen cabinetsSmart home features as standard for every homeCooking range, hood, washer-drier installed as standard Security and access controlWho We AreKeyspace is a boutique real estate brokerage firm, connecting local and international clients to the most exclusive properties in Dubai & Sharjah. We offer a bespoke property finder service for all your real estate needs for apartments and villas across the UAE. We are not just property advisors we pride ourselves on our friendly and professional approach to making your next property move an easy one. Call now to arrange a free consultation with our Private Client AdvisorNOTE: Pictures used in the advertisement are for illustration purposes only.","https://images.bayut.com/thumbnails/743589280-400x300.jpeg,https://images.bayut.com/thumbnails/743589281-400x300.jpeg,https://images.bayut.com/thumbnails/743589282-400x300.jpeg"
